,date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
0,2014-12-01,335.0,335.0,335.0,335.0,0.014138885,4.88138745,335.0
1,2014-12-02,377.82142857142856,377.85714285714283,377.82142857142856,377.85714285714283,2.1447999999999996,810.7240428571429,377.8549107142857
2,2014-12-03,377.7157142857142,377.7157142857142,377.7157142857142,377.7157142857142,0.07951548857142857,30.04128325142857,377.7157142857142
3,2014-12-05,378.0,378.0,378.0,378.0,0.015,5.67,378.0
4,2014-12-08,375.01,375.01,375.0,375.0,0.235,88.1251,375.00042553
5,2014-12-09,379.25,379.25,379.25,379.25,0.01,3.7925,379.25
6,2014-12-11,363.6225,363.6225,363.4975,363.4975,0.7875000000000001,278.873725,363.61103211
7,2014-12-18,345.0,345.0,340.0,340.0,2.0,685.0,342.5
8,2015-01-07,302.499953271028,310.9327570093459,292.5429906542054,301.6077570093456,0.023271028037383117,7.031295327102802,301.85985959037373
9,2015-01-08,289.5090128755365,297.68643776824047,280.1430472103005,288.0049356223177,0.023047210300429114,6.656040343347638,288.82993919888423
10,2015-01-12,260.0,260.0,260.0,260.0,1.0,260.0,260.0
11,2015-01-13,213.54333333333332,213.54333333333332,213.54333333333332,213.54333333333332,0.01,2.1354333333333333,213.54333333333332
12,2015-01-14,154.29310699588473,170.72162551440337,141.15903292181085,156.86271604938284,0.025672505761316678,4.078580068694239,155.84434243956787
13,2015-01-15,207.48017751479287,208.78609467455624,206.30011834319518,207.62585798816562,0.02352142449704138,4.874862992662721,207.4995946012425
14,2015-01-16,203.4152631578948,205.7364912280702,200.7865789473684,203.00324561403502,0.022043859649122807,4.479211403508772,203.23077339166676
15,2015-01-17,191.0,200.25,190.25,199.75,0.022250000000000002,4.356,195.2716165425
16,2015-01-18,215.17,215.17,215.17,215.17,0.1366666666666667,28.7517,215.17
17,2015-01-20,217.14285714285714,217.71428571428572,217.14285714285714,217.71428571428572,0.010714285714285716,2.332142857142857,217.55102040857145
18,2015-01-21,227.34785714285707,230.49918367346942,223.84051020408162,226.2908163265306,0.045231706326530584,10.375892910022449,227.3322449864286
19,2015-01-22,221.95499999999998,232.995,221.95499999999998,232.995,0.015,3.4179000000000004,227.475
20,2015-01-23,225.66666666666666,225.66666666666666,225.66666666666666,225.66666666666666,0.016666750000000004,3.81335125,225.66666666666666
21,2015-01-24,249.07000000000002,249.15055555555557,248.48833333333334,248.56888888888892,0.46430227444444433,116.74948655444445,249.04765023166667
22,2015-01-25,259.6872727272727,260.0105454545455,259.60627272727277,259.8503636363637,8.687641018181818,2276.8975522174546,259.8658821179091
23,2015-01-26,269.8612074303407,270.1598142414864,269.5107120743035,269.7659597523223,8.296941226501584,2307.7120966452753,269.8437716985449
24,2015-01-27,260.610932642487,260.7224740932642,260.4797020725388,260.59208549222797,1.8394983800906723,479.6320108242325,260.61301736615263
25,2015-01-28,245.74404737384108,245.99879505664234,245.5209989701337,245.73822863027786,6.381849569474781,1553.4121308862996,245.797069105314
26,2015-01-29,233.21691519105318,233.4419291705498,233.0898788443617,233.2689375582479,5.643911170559183,1313.3129355454316,233.28287463906796
27,2015-01-30,232.4085318275152,232.60935318275153,232.29773100616003,232.44872689938384,6.510213391078033,1513.617301016954,232.45805279329562
28,2015-01-31,226.6778963110671,226.8387836490529,226.56964107677,226.7085443668993,5.5288859247358015,1249.1609495748683,226.7094680822436
